n,pts_time,fps,frame_idx
1,0.0,25.0,0
2,5.88,25.0,147
3,11.4,25.0,285
4,11.6,25.0,290
5,16.44,25.0,411
6,21.48,25.0,537
7,21.72,25.0,543
8,24.28,25.0,607
9,26.8,25.0,670
10,27.16,25.0,679
11,29.92,25.0,748
12,31.84,25.0,796
13,32.92,25.0,823
14,37.72,25.0,943
15,40.24,25.0,1006
16,43.12,25.0,1078
17,45.6,25.0,1140
18,48.48,25.0,1212
19,54.24,25.0,1356
20,60.0,25.0,1500
21,65.76,25.0,1644
22,71.52,25.0,1788
23,77.28,25.0,1932
24,83.04,25.0,2076
25,88.8,25.0,2220
26,91.72,25.0,2293
27,94.56,25.0,2364
28,96.72,25.0,2418
29,99.6,25.0,2490
30,101.72,25.0,2543
31,104.6,25.0,2615
32,106.72,25.0,2668
33,109.6,25.0,2740
34,111.72,25.0,2793
35,114.6,25.0,2865
36,116.72,25.0,2918
37,119.6,25.0,2990
38,125.36,25.0,3134
39,131.04,25.0,3276
40,136.8,25.0,3420
41,137.0,25.0,3425
42,141.8,25.0,3545
43,147.56,25.0,3689
44,153.32,25.0,3833
45,159.08,25.0,3977
46,163.56,25.0,4089
47,164.52,25.0,4113
48,170.28,25.0,4257
49,175.92,25.0,4398
50,181.68,25.0,4542
51,187.44,25.0,4686
52,187.84,25.0,4696
53,192.8,25.0,4820
54,194.28,25.0,4857
55,197.64,25.0,4941
56,198.6,25.0,4965
57,202.36,25.0,5059
58,204.28,25.0,5107
59,205.76,25.0,5144
60,209.48,25.0,5237
61,212.28,25.0,5307
62,215.16,25.0,5379
