n,pts_time,fps,frame_idx
1,0.0,25.0,0
2,0.84,25.0,21
3,2.24,25.0,56
4,2.44,25.0,61
5,2.64,25.0,66
6,3.12,25.0,78
7,3.32,25.0,83
8,3.52,25.0,88
9,5.12,25.0,128
10,6.6,25.0,165
11,6.64,25.0,166
12,8.96,25.0,224
13,10.24,25.0,256
14,10.68,25.0,267
15,12.0,25.0,300
16,14.48,25.0,362
17,15.36,25.0,384
18,18.92,25.0,473
19,20.04,25.0,501
20,20.48,25.0,512
21,22.32,25.0,558
22,24.64,25.0,616
23,25.6,25.0,640
24,29.12,25.0,728
25,30.72,25.0,768
26,32.12,25.0,802
27,35.08,25.0,877
28,35.84,25.0,896
29,38.92,25.0,973
30,40.96,25.0,1024
31,41.16,25.0,1029
32,44.68,25.0,1117
33,45.84,25.0,1146
34,46.08,25.0,1152
35,48.84,25.0,1221
36,50.84,25.0,1271
37,51.2,25.0,1280
38,55.08,25.0,1377
39,56.32,25.0,1408
40,61.44,25.0,1536
41,64.0,25.0,1600
42,66.56,25.0,1664
43,71.0,25.0,1775
44,71.68,25.0,1792
45,76.8,25.0,1920
46,78.0,25.0,1950
47,80.88,25.0,2022
48,81.92,25.0,2048
49,84.12,25.0,2103
50,87.04,25.0,2176
51,88.52,25.0,2213
52,92.16,25.0,2304
53,93.24,25.0,2331
54,97.28,25.0,2432
55,98.28,25.0,2457
56,101.4,25.0,2535
57,102.4,25.0,2560
58,103.44,25.0,2586
59,106.12,25.0,2653
60,107.52,25.0,2688
61,108.76,25.0,2719
62,112.0,25.0,2800
63,112.64,25.0,2816
64,115.72,25.0,2893
65,117.32,25.0,2933
66,117.76,25.0,2944
67,120.76,25.0,3019
68,122.88,25.0,3072
69,123.16,25.0,3079
70,125.0,25.0,3125
71,128.0,25.0,3200
72,128.76,25.0,3219
73,133.12,25.0,3328
74,135.4,25.0,3385
75,138.24,25.0,3456
76,139.48,25.0,3486
77,143.36,25.0,3584
78,145.24,25.0,3631
79,148.48,25.0,3711
80,150.8,25.0,3770
81,153.6,25.0,3840
82,157.12,25.0,3928
83,158.72,25.0,3968
84,160.12,25.0,4003
85,162.8,25.0,4070
86,163.84,25.0,4096
87,165.28,25.0,4132
88,167.88,25.0,4197
89,168.96,25.0,4224
90,171.36,25.0,4284
91,172.72,25.0,4318
92,173.6,25.0,4340
93,174.08,25.0,4352
94,178.88,25.0,4472
95,179.2,25.0,4480
96,180.8,25.0,4520
97,184.32,25.0,4608
98,185.2,25.0,4630
99,187.16,25.0,4679
100,188.76,25.0,4719
101,189.44,25.0,4736
102,190.8,25.0,4770
103,192.96,25.0,4824
104,194.56,25.0,4864
105,195.12,25.0,4878
106,197.6,25.0,4940
107,199.48,25.0,4987
108,199.68,25.0,4992
109,201.48,25.0,5037
110,203.32,25.0,5083
111,204.8,25.0,5120
112,204.84,25.0,5121
113,206.56,25.0,5164
114,209.48,25.0,5237
115,209.92,25.0,5248
116,211.6,25.0,5290
117,214.04,25.0,5351
118,215.04,25.0,5376
119,215.08,25.0,5377
120,216.72,25.0,5418
121,218.0,25.0,5450
122,219.28,25.0,5482
123,220.16,25.0,5504
124,220.4,25.0,5510
125,221.8,25.0,5545
126,224.24,25.0,5606
127,225.28,25.0,5632
128,226.76,25.0,5669
129,228.64,25.0,5716
130,230.4,25.0,5760
131,234.2,25.0,5855
132,235.52,25.0,5888
133,238.52,25.0,5963
134,240.16,25.0,6004
135,240.64,25.0,6016
136,241.48,25.0,6037
137,243.08,25.0,6077
138,245.08,25.0,6127
139,245.76,25.0,6144
140,249.12,25.0,6228
141,250.88,25.0,6272
142,252.28,25.0,6307
143,256.0,25.0,6400
144,256.56,25.0,6414
145,259.56,25.0,6489
146,261.12,25.0,6528
147,261.2,25.0,6530
148,262.48,25.0,6562
149,266.08,25.0,6652
150,266.24,25.0,6656
151,268.08,25.0,6702
152,271.36,25.0,6784
153,271.72,25.0,6793
154,276.48,25.0,6912
155,278.24,25.0,6956
156,281.6,25.0,7040
157,283.16,25.0,7079
158,286.72,25.0,7168
159,288.6,25.0,7215
160,291.68,25.0,7292
161,291.84,25.0,7295
162,296.96,25.0,7423
163,302.08,25.0,7552
164,307.2,25.0,7680
