n,pts_time,fps,frame_idx
1,0.0,25.0,0
2,0.84,25.0,21
3,2.24,25.0,56
4,2.44,25.0,61
5,3.12,25.0,78
6,3.32,25.0,83
7,3.52,25.0,88
8,5.12,25.0,128
9,6.6,25.0,165
10,6.64,25.0,166
11,8.96,25.0,224
12,10.24,25.0,256
13,12.0,25.0,300
14,15.36,25.0,384
15,18.4,25.0,459
16,20.48,25.0,512
17,22.56,25.0,564
18,23.68,25.0,592
19,24.84,25.0,621
20,25.6,25.0,640
21,26.88,25.0,672
22,30.72,25.0,768
23,31.04,25.0,776
24,34.28,25.0,857
25,35.84,25.0,896
26,37.64,25.0,941
27,39.6,25.0,990
28,40.96,25.0,1024
29,41.36,25.0,1034
30,44.88,25.0,1122
31,46.08,25.0,1152
32,47.76,25.0,1194
33,49.76,25.0,1244
34,51.2,25.0,1280
35,54.56,25.0,1364
36,56.32,25.0,1408
37,61.44,25.0,1536
38,63.36,25.0,1584
39,66.56,25.0,1664
40,70.32,25.0,1757
41,71.68,25.0,1792
42,76.32,25.0,1907
43,76.8,25.0,1920
44,79.0,25.0,1975
45,81.24,25.0,2030
46,81.92,25.0,2048
47,83.2,25.0,2080
48,85.04,25.0,2126
49,86.84,25.0,2171
50,87.04,25.0,2176
51,88.84,25.0,2221
52,91.04,25.0,2276
53,91.92,25.0,2298
54,92.16,25.0,2304
55,92.88,25.0,2322
56,94.64,25.0,2366
57,97.28,25.0,2432
58,97.96,25.0,2449
59,100.12,25.0,2503
60,102.4,25.0,2560
61,105.48,25.0,2637
62,107.52,25.0,2688
63,111.2,25.0,2780
64,112.64,25.0,2816
65,113.4,25.0,2835
66,116.48,25.0,2912
67,117.76,25.0,2944
68,120.56,25.0,3014
69,122.72,25.0,3068
70,122.88,25.0,3072
71,124.68,25.0,3117
72,128.0,25.0,3200
73,130.12,25.0,3253
74,133.12,25.0,3328
75,136.12,25.0,3403
76,138.24,25.0,3456
77,138.96,25.0,3474
78,142.4,25.0,3560
79,143.36,25.0,3584
80,143.68,25.0,3592
81,145.48,25.0,3636
82,148.04,25.0,3701
83,148.48,25.0,3711
84,150.16,25.0,3754
85,152.0,25.0,3800
86,153.6,25.0,3840
87,154.52,25.0,3863
88,156.36,25.0,3909
89,157.4,25.0,3935
90,158.72,25.0,3968
91,160.28,25.0,4007
92,163.68,25.0,4092
93,163.84,25.0,4096
94,165.84,25.0,4146
95,168.96,25.0,4224
96,169.48,25.0,4237
97,171.44,25.0,4286
98,173.84,25.0,4346
99,174.08,25.0,4352
100,176.16,25.0,4404
101,177.8,25.0,4445
102,179.2,25.0,4480
103,180.32,25.0,4508
104,184.32,25.0,4608
105,185.48,25.0,4637
106,189.44,25.0,4736
107,189.72,25.0,4743
108,193.68,25.0,4842
109,194.56,25.0,4864
110,195.6,25.0,4890
111,197.28,25.0,4932
112,199.36,25.0,4984
113,199.68,25.0,4992
114,201.6,25.0,5040
115,203.76,25.0,5094
116,204.8,25.0,5120
117,207.08,25.0,5177
118,209.92,25.0,5248
119,212.24,25.0,5306
120,215.04,25.0,5376
121,216.52,25.0,5413
122,219.16,25.0,5479
123,220.16,25.0,5504
124,220.64,25.0,5516
125,222.48,25.0,5562
126,223.84,25.0,5596
127,225.28,25.0,5632
128,229.0,25.0,5725
129,230.4,25.0,5760
130,231.6,25.0,5790
131,235.04,25.0,5876
132,235.52,25.0,5888
133,238.24,25.0,5956
134,240.24,25.0,6006
135,240.64,25.0,6016
136,242.2,25.0,6055
137,244.64,25.0,6116
138,245.76,25.0,6144
139,246.32,25.0,6158
140,248.52,25.0,6213
141,250.88,25.0,6272
142,251.16,25.0,6279
143,256.0,25.0,6400
144,260.04,25.0,6501
145,261.12,25.0,6528
146,266.24,25.0,6656
147,270.28,25.0,6756
148,271.36,25.0,6784
149,276.48,25.0,6912
150,277.56,25.0,6939
151,281.6,25.0,7040
152,286.32,25.0,7158
153,286.72,25.0,7168
154,290.2,25.0,7255
155,291.84,25.0,7295
156,296.16,25.0,7404
157,296.96,25.0,7423
158,302.08,25.0,7552
159,307.2,25.0,7680
