n,pts_time,fps,frame_idx
1,0.0,25.0,0
2,2.72,25.0,68
3,6.0,25.0,150
4,12.0,25.0,300
5,18.0,25.0,450
6,24.0,25.0,600
7,25.68,25.0,642
8,30.0,25.0,750
9,36.0,25.0,900
10,42.0,25.0,1050
11,44.68,25.0,1117
12,48.0,25.0,1200
13,54.0,25.0,1350
14,60.0,25.0,1500
15,61.08,25.0,1527
16,61.16,25.0,1529
17,62.2,25.0,1555
18,62.24,25.0,1556
19,63.48,25.0,1587
20,65.28,25.0,1632
21,66.0,25.0,1650
22,66.68,25.0,1667
23,67.4,25.0,1685
24,68.36,25.0,1709
25,69.08,25.0,1727
26,69.12,25.0,1728
27,69.16,25.0,1729
28,69.2,25.0,1730
29,69.24,25.0,1730
30,70.2,25.0,1755
31,70.24,25.0,1755
32,71.6,25.0,1789
33,72.0,25.0,1800
34,72.76,25.0,1819
35,73.88,25.0,1847
36,75.36,25.0,1884
37,76.68,25.0,1917
38,78.0,25.0,1950
39,79.28,25.0,1982
40,79.32,25.0,1982
41,80.92,25.0,2023
42,81.64,25.0,2041
43,82.32,25.0,2058
44,82.48,25.0,2062
45,82.52,25.0,2063
46,83.68,25.0,2092
47,84.0,25.0,2100
48,84.92,25.0,2123
49,84.96,25.0,2124
50,86.2,25.0,2155
51,87.68,25.0,2192
52,89.2,25.0,2230
53,89.24,25.0,2231
54,89.36,25.0,2234
55,89.4,25.0,2235
56,90.0,25.0,2250
57,91.2,25.0,2280
58,94.72,25.0,2368
59,96.0,25.0,2400
60,96.92,25.0,2423
61,99.28,25.0,2482
62,100.36,25.0,2509
63,101.36,25.0,2534
64,102.0,25.0,2550
65,103.08,25.0,2577
66,104.24,25.0,2606
67,104.28,25.0,2607
68,104.52,25.0,2613
69,104.64,25.0,2616
70,104.68,25.0,2617
71,104.72,25.0,2618
72,104.84,25.0,2621
73,104.88,25.0,2622
74,104.92,25.0,2623
75,105.0,25.0,2625
76,105.44,25.0,2636
77,105.48,25.0,2637
78,106.72,25.0,2668
79,108.0,25.0,2700
80,109.48,25.0,2737
81,110.84,25.0,2771
82,112.4,25.0,2810
83,113.64,25.0,2841
84,114.0,25.0,2850
85,114.72,25.0,2868
86,116.2,25.0,2905
87,117.44,25.0,2936
88,120.0,25.0,3000
89,121.04,25.0,3026
90,126.0,25.0,3150
91,132.0,25.0,3300
92,138.0,25.0,3450
93,144.0,25.0,3600
94,150.0,25.0,3750
95,156.0,25.0,3900
96,162.0,25.0,4050
97,168.0,25.0,4200
98,174.0,25.0,4350
99,180.0,25.0,4500
100,186.0,25.0,4650
101,192.0,25.0,4800
102,198.0,25.0,4950
103,204.0,25.0,5100
104,210.0,25.0,5250
105,216.0,25.0,5400
106,222.0,25.0,5550
107,228.0,25.0,5700
108,234.0,25.0,5850
109,240.0,25.0,6000
110,246.0,25.0,6150
111,252.0,25.0,6300
112,258.0,25.0,6450
113,264.0,25.0,6600
114,270.0,25.0,6750
115,276.0,25.0,6900
116,282.0,25.0,7050
117,288.0,25.0,7200
118,294.0,25.0,7350
119,300.0,25.0,7500
120,306.0,25.0,7650
121,312.0,25.0,7800
122,318.0,25.0,7950
123,324.0,25.0,8100
124,330.0,25.0,8250
125,336.0,25.0,8400
126,342.0,25.0,8550
127,348.0,25.0,8700
128,354.0,25.0,8850
129,360.0,25.0,9000
130,366.0,25.0,9150
131,372.0,25.0,9300
132,378.0,25.0,9450
133,384.0,25.0,9600
134,390.0,25.0,9750
135,396.0,25.0,9900
136,402.0,25.0,10050
137,408.0,25.0,10200
138,414.0,25.0,10350
139,420.0,25.0,10500
140,426.0,25.0,10650
141,432.0,25.0,10800
142,438.0,25.0,10950
143,444.0,25.0,11100
144,450.0,25.0,11250
145,456.0,25.0,11400
146,462.0,25.0,11550
147,468.0,25.0,11700
148,474.0,25.0,11850
149,480.0,25.0,12000
150,486.0,25.0,12150
151,492.0,25.0,12300
152,498.0,25.0,12450
153,504.0,25.0,12600
154,510.0,25.0,12750
155,516.0,25.0,12900
156,522.0,25.0,13050
157,528.0,25.0,13200
158,534.0,25.0,13350
159,540.0,25.0,13500
160,546.0,25.0,13650
161,552.0,25.0,13800
162,558.0,25.0,13950
163,564.0,25.0,14100
164,570.0,25.0,14250
165,576.0,25.0,14400
166,582.0,25.0,14550
167,588.0,25.0,14700
168,594.0,25.0,14850
169,600.0,25.0,15000
170,606.0,25.0,15150
171,612.0,25.0,15300
172,618.0,25.0,15450
173,624.0,25.0,15600
174,630.0,25.0,15750
175,636.0,25.0,15900
176,642.0,25.0,16050
177,648.0,25.0,16200
178,654.0,25.0,16350
179,660.0,25.0,16500
180,666.0,25.0,16650
181,672.0,25.0,16800
182,678.0,25.0,16950
183,684.0,25.0,17100
184,690.0,25.0,17250
185,696.0,25.0,17400
186,702.0,25.0,17550
187,708.0,25.0,17700
188,714.0,25.0,17850
189,720.0,25.0,18000
190,726.0,25.0,18150
191,732.0,25.0,18300
192,738.0,25.0,18450
193,744.0,25.0,18600
194,750.0,25.0,18750
195,756.0,25.0,18900
196,762.0,25.0,19050
197,768.0,25.0,19200
198,774.0,25.0,19350
199,780.0,25.0,19500
200,786.0,25.0,19650
201,792.0,25.0,19800
202,798.0,25.0,19950
203,804.0,25.0,20100
204,810.0,25.0,20250
205,816.0,25.0,20400
206,822.0,25.0,20550
207,828.0,25.0,20700
208,834.0,25.0,20850
209,840.0,25.0,21000
210,846.0,25.0,21150
211,852.0,25.0,21300
212,858.0,25.0,21450
213,864.0,25.0,21600
214,870.0,25.0,21750
215,876.0,25.0,21900
216,882.0,25.0,22050
217,888.0,25.0,22200
218,894.0,25.0,22350
219,900.0,25.0,22500
220,906.0,25.0,22650
221,912.0,25.0,22800
222,918.0,25.0,22950
223,924.0,25.0,23100
224,930.0,25.0,23250
225,936.0,25.0,23400
226,942.0,25.0,23550
227,948.0,25.0,23700
228,954.0,25.0,23850
229,960.0,25.0,24000
230,966.0,25.0,24150
231,972.0,25.0,24300
232,978.0,25.0,24450
233,984.0,25.0,24600
234,990.0,25.0,24750
235,996.0,25.0,24900
236,1002.0,25.0,25050
237,1008.0,25.0,25200
238,1014.0,25.0,25350
239,1020.0,25.0,25500
240,1026.0,25.0,25650
241,1030.92,25.0,25773
242,1032.0,25.0,25800
243,1037.68,25.0,25942
244,1038.0,25.0,25950
245,1039.36,25.0,25983
246,1041.08,25.0,26027
247,1044.0,25.0,26100
248,1046.6,25.0,26164
249,1048.28,25.0,26207
250,1049.52,25.0,26238
251,1050.0,25.0,26250
252,1050.4,25.0,26260
253,1051.44,25.0,26286
254,1052.12,25.0,26302
255,1052.28,25.0,26307
256,1056.0,25.0,26400
257,1057.24,25.0,26431
258,1059.32,25.0,26483
259,1061.24,25.0,26531
260,1062.0,25.0,26550
261,1063.36,25.0,26583
