n,pts_time,fps,frame_idx
1,0.0,25.0,0
2,0.84,25.0,21
3,2.24,25.0,56
4,2.44,25.0,61
5,3.12,25.0,78
6,3.32,25.0,83
7,3.52,25.0,88
8,5.12,25.0,128
9,6.6,25.0,165
10,6.64,25.0,166
11,8.96,25.0,224
12,10.24,25.0,256
13,12.0,25.0,300
14,15.36,25.0,384
15,16.04,25.0,401
16,20.48,25.0,512
17,25.6,25.0,640
18,26.88,25.0,672
19,30.72,25.0,768
20,30.92,25.0,773
21,35.84,25.0,896
22,38.16,25.0,953
23,40.96,25.0,1024
24,46.08,25.0,1152
25,51.2,25.0,1280
26,51.48,25.0,1287
27,53.28,25.0,1332
28,56.32,25.0,1408
29,56.72,25.0,1418
30,59.0,25.0,1475
31,61.44,25.0,1536
32,61.96,25.0,1549
33,65.68,25.0,1642
34,66.56,25.0,1664
35,67.0,25.0,1675
36,69.2,25.0,1730
37,71.0,25.0,1775
38,71.68,25.0,1792
39,74.56,25.0,1864
40,76.8,25.0,1920
41,77.44,25.0,1936
42,80.12,25.0,2003
43,81.92,25.0,2048
44,83.12,25.0,2078
45,86.4,25.0,2160
46,87.04,25.0,2176
47,90.04,25.0,2251
48,92.16,25.0,2304
49,97.28,25.0,2432
50,99.56,25.0,2489
51,102.4,25.0,2560
52,102.44,25.0,2561
53,105.0,25.0,2625
54,107.52,25.0,2688
55,111.68,25.0,2792
56,112.64,25.0,2816
57,116.52,25.0,2913
58,117.76,25.0,2944
59,121.32,25.0,3033
60,122.88,25.0,3072
61,124.08,25.0,3102
62,128.0,25.0,3200
63,128.76,25.0,3219
64,131.08,25.0,3277
65,133.12,25.0,3328
66,134.6,25.0,3365
67,137.48,25.0,3436
68,138.24,25.0,3456
69,139.44,25.0,3486
70,140.88,25.0,3522
71,143.08,25.0,3577
72,143.36,25.0,3584
73,148.08,25.0,3702
74,148.48,25.0,3711
75,153.2,25.0,3829
76,153.6,25.0,3840
77,154.72,25.0,3868
78,158.72,25.0,3968
79,161.48,25.0,4036
80,163.84,25.0,4096
81,166.12,25.0,4153
82,168.96,25.0,4224
83,169.8,25.0,4245
84,172.72,25.0,4318
85,174.08,25.0,4352
86,179.2,25.0,4480
87,179.72,25.0,4493
88,183.64,25.0,4591
89,184.32,25.0,4608
90,189.44,25.0,4736
91,190.08,25.0,4752
92,193.04,25.0,4826
93,194.56,25.0,4864
94,199.68,25.0,4992
95,200.84,25.0,5021
96,203.52,25.0,5088
97,204.8,25.0,5120
98,206.52,25.0,5163
99,209.6,25.0,5240
100,209.92,25.0,5248
101,211.64,25.0,5291
102,214.24,25.0,5356
103,215.04,25.0,5376
104,217.0,25.0,5425
105,220.16,25.0,5504
106,221.32,25.0,5533
107,225.28,25.0,5632
108,227.64,25.0,5691
109,229.64,25.0,5741
110,230.4,25.0,5760
111,233.24,25.0,5831
112,235.52,25.0,5888
113,236.56,25.0,5914
114,240.64,25.0,6016
115,243.84,25.0,6096
116,245.76,25.0,6144
117,250.88,25.0,6272
118,251.36,25.0,6284
119,256.0,25.0,6400
120,256.72,25.0,6418
121,261.12,25.0,6528
122,262.36,25.0,6559
123,264.84,25.0,6620
124,266.24,25.0,6656
125,267.96,25.0,6698
126,271.36,25.0,6784
127,275.68,25.0,6892
128,276.48,25.0,6912
129,279.2,25.0,6980
130,281.6,25.0,7040
131,286.72,25.0,7168
132,287.08,25.0,7177
133,291.84,25.0,7295
134,292.52,25.0,7313
135,296.96,25.0,7423
136,297.8,25.0,7445
137,302.08,25.0,7552
138,306.72,25.0,7668
139,307.2,25.0,7680
140,312.32,25.0,7808
141,313.88,25.0,7847
142,317.44,25.0,7936
143,322.56,25.0,8064
