n,pts_time,fps,frame_idx
1,0.0,25.0,0
2,0.84,25.0,21
3,1.32,25.0,33
4,3.12,25.0,78
5,3.32,25.0,83
6,3.52,25.0,88
7,5.12,25.0,128
8,6.6,25.0,165
9,6.64,25.0,166
10,8.96,25.0,224
11,10.24,25.0,256
12,12.0,25.0,300
13,14.04,25.0,351
14,15.04,25.0,376
15,15.36,25.0,384
16,16.4,25.0,409
17,18.16,25.0,454
18,19.04,25.0,476
19,20.24,25.0,505
20,20.48,25.0,512
21,21.28,25.0,532
22,22.72,25.0,568
23,25.6,25.0,640
24,27.6,25.0,690
25,30.6,25.0,765
26,30.72,25.0,768
27,31.56,25.0,789
28,33.56,25.0,839
29,35.84,25.0,896
30,37.08,25.0,927
31,40.96,25.0,1024
32,46.08,25.0,1152
33,51.2,25.0,1280
34,53.04,25.0,1326
35,56.32,25.0,1408
36,59.52,25.0,1488
37,61.44,25.0,1536
38,61.8,25.0,1545
39,62.96,25.0,1574
40,64.28,25.0,1607
41,66.56,25.0,1664
42,66.6,25.0,1664
43,69.4,25.0,1735
44,71.68,25.0,1792
45,72.08,25.0,1802
46,74.28,25.0,1857
47,76.8,25.0,1920
48,80.4,25.0,2010
49,81.92,25.0,2048
50,83.96,25.0,2099
51,86.32,25.0,2158
52,87.04,25.0,2176
53,89.4,25.0,2235
54,92.16,25.0,2304
55,92.44,25.0,2311
56,94.08,25.0,2352
57,97.28,25.0,2432
58,98.72,25.0,2468
59,100.96,25.0,2524
60,102.4,25.0,2560
61,104.12,25.0,2603
62,106.68,25.0,2667
63,107.52,25.0,2688
64,109.24,25.0,2731
65,111.0,25.0,2775
66,112.64,25.0,2816
67,114.6,25.0,2865
68,116.44,25.0,2911
69,117.76,25.0,2944
70,118.4,25.0,2960
71,119.52,25.0,2988
72,122.48,25.0,3062
73,122.88,25.0,3072
74,125.32,25.0,3133
75,127.8,25.0,3195
76,128.0,25.0,3200
77,128.8,25.0,3220
78,133.12,25.0,3328
79,133.44,25.0,3336
80,135.56,25.0,3389
81,137.08,25.0,3427
82,138.24,25.0,3456
83,138.76,25.0,3469
84,140.2,25.0,3504
85,141.72,25.0,3543
86,143.36,25.0,3584
87,144.64,25.0,3615
88,146.4,25.0,3660
89,148.48,25.0,3711
90,149.36,25.0,3734
91,150.88,25.0,3772
92,152.32,25.0,3808
93,153.44,25.0,3836
94,153.6,25.0,3840
95,155.0,25.0,3875
96,156.6,25.0,3915
97,158.72,25.0,3968
98,159.88,25.0,3997
99,163.84,25.0,4096
100,165.48,25.0,4137
101,168.96,25.0,4224
102,173.88,25.0,4347
103,174.08,25.0,4352
104,176.08,25.0,4402
105,178.32,25.0,4458
106,179.2,25.0,4480
107,179.68,25.0,4492
108,181.84,25.0,4546
109,183.68,25.0,4592
110,184.32,25.0,4608
111,186.72,25.0,4668
112,189.16,25.0,4729
113,189.44,25.0,4736
114,192.48,25.0,4812
115,194.56,25.0,4864
116,195.84,25.0,4896
117,198.84,25.0,4971
118,199.68,25.0,4992
119,202.24,25.0,5056
120,203.92,25.0,5098
121,204.8,25.0,5120
122,205.92,25.0,5148
123,207.6,25.0,5190
124,209.36,25.0,5234
125,209.92,25.0,5248
126,211.44,25.0,5286
127,214.6,25.0,5365
128,215.04,25.0,5376
129,216.36,25.0,5409
130,218.52,25.0,5463
131,220.16,25.0,5504
132,220.48,25.0,5512
133,223.08,25.0,5577
134,225.28,25.0,5632
135,225.76,25.0,5644
136,227.88,25.0,5697
137,230.4,25.0,5760
138,233.2,25.0,5830
139,235.52,25.0,5888
140,235.64,25.0,5891
141,238.48,25.0,5962
142,240.64,25.0,6016
143,240.84,25.0,6021
144,243.08,25.0,6077
145,245.76,25.0,6144
146,246.08,25.0,6152
147,248.08,25.0,6202
148,249.8,25.0,6245
149,250.88,25.0,6272
150,255.36,25.0,6384
151,256.0,25.0,6400
152,258.36,25.0,6459
153,261.12,25.0,6528
154,264.16,25.0,6604
155,266.24,25.0,6656
156,270.16,25.0,6754
157,271.36,25.0,6784
158,276.48,25.0,6912
159,278.64,25.0,6966
160,281.6,25.0,7040
161,282.88,25.0,7072
162,286.72,25.0,7168
163,289.6,25.0,7240
164,291.84,25.0,7295
165,293.72,25.0,7343
166,296.96,25.0,7423
167,297.36,25.0,7434
168,302.08,25.0,7552
169,307.2,25.0,7680
