n,pts_time,fps,frame_idx
1,0.0,25.0,0
2,0.84,25.0,21
3,1.32,25.0,33
4,3.12,25.0,78
5,3.32,25.0,83
6,3.52,25.0,88
7,5.12,25.0,128
8,6.6,25.0,165
9,6.64,25.0,166
10,8.96,25.0,224
11,10.24,25.0,256
12,12.0,25.0,300
13,14.8,25.0,370
14,15.36,25.0,384
15,18.16,25.0,454
16,20.28,25.0,507
17,20.48,25.0,512
18,21.36,25.0,534
19,25.6,25.0,640
20,27.16,25.0,679
21,29.72,25.0,743
22,30.72,25.0,768
23,34.56,25.0,864
24,35.84,25.0,896
25,37.96,25.0,949
26,40.96,25.0,1024
27,44.88,25.0,1122
28,46.08,25.0,1152
29,50.4,25.0,1260
30,51.2,25.0,1280
31,54.04,25.0,1351
32,55.48,25.0,1387
33,56.32,25.0,1408
34,59.4,25.0,1485
35,61.44,25.0,1536
36,64.92,25.0,1623
37,66.56,25.0,1664
38,71.68,25.0,1792
39,73.92,25.0,1848
40,76.8,25.0,1920
41,80.88,25.0,2022
42,81.92,25.0,2048
43,87.04,25.0,2176
44,87.96,25.0,2199
45,89.12,25.0,2228
46,90.72,25.0,2268
47,92.16,25.0,2304
48,93.04,25.0,2326
49,94.88,25.0,2372
50,97.28,25.0,2432
51,99.96,25.0,2499
52,102.4,25.0,2560
53,103.48,25.0,2587
54,106.2,25.0,2655
55,107.52,25.0,2688
56,108.72,25.0,2718
57,111.96,25.0,2799
58,112.64,25.0,2816
59,115.92,25.0,2898
60,117.76,25.0,2944
61,120.24,25.0,3006
62,122.88,25.0,3072
63,124.04,25.0,3101
64,128.0,25.0,3200
65,131.6,25.0,3290
66,133.12,25.0,3328
67,138.24,25.0,3456
68,138.4,25.0,3460
69,141.44,25.0,3536
70,143.36,25.0,3584
71,145.08,25.0,3627
72,147.4,25.0,3685
73,148.48,25.0,3711
74,153.6,25.0,3840
75,155.52,25.0,3888
76,158.72,25.0,3968
77,160.4,25.0,4010
78,163.32,25.0,4083
79,163.84,25.0,4096
80,166.64,25.0,4166
81,168.96,25.0,4224
82,172.0,25.0,4300
83,174.08,25.0,4352
84,179.2,25.0,4480
85,180.08,25.0,4502
86,183.32,25.0,4583
87,184.32,25.0,4608
88,186.48,25.0,4662
89,189.44,25.0,4736
90,190.8,25.0,4770
91,193.64,25.0,4841
92,194.56,25.0,4864
93,199.68,25.0,4992
94,201.6,25.0,5040
95,203.6,25.0,5090
96,204.8,25.0,5120
97,205.92,25.0,5148
98,207.52,25.0,5188
99,209.92,25.0,5248
100,212.52,25.0,5313
101,215.04,25.0,5376
102,216.12,25.0,5403
103,218.28,25.0,5457
104,220.16,25.0,5504
105,220.68,25.0,5517
106,225.28,25.0,5632
107,226.96,25.0,5674
108,228.16,25.0,5704
109,229.44,25.0,5736
110,230.4,25.0,5760
111,230.6,25.0,5765
112,232.16,25.0,5804
113,233.32,25.0,5833
114,235.52,25.0,5888
115,238.72,25.0,5968
116,240.64,25.0,6016
117,241.32,25.0,6033
118,245.04,25.0,6126
119,245.76,25.0,6144
120,246.88,25.0,6172
121,250.88,25.0,6272
122,251.76,25.0,6294
123,256.0,25.0,6400
124,257.04,25.0,6426
125,261.12,25.0,6528
126,263.2,25.0,6580
127,266.24,25.0,6656
128,266.76,25.0,6669
129,269.8,25.0,6745
130,271.36,25.0,6784
131,271.76,25.0,6794
132,274.64,25.0,6866
133,276.48,25.0,6912
134,277.8,25.0,6945
135,281.16,25.0,7029
136,281.6,25.0,7040
137,286.72,25.0,7168
138,287.08,25.0,7177
139,291.4,25.0,7284
140,291.84,25.0,7295
141,294.48,25.0,7362
142,296.96,25.0,7423
143,299.08,25.0,7477
144,302.08,25.0,7552
145,307.2,25.0,7680
