n,pts_time,fps,frame_idx
1,0.0,25.0,0
2,0.84,25.0,21
3,3.12,25.0,78
4,3.32,25.0,83
5,3.52,25.0,88
6,5.12,25.0,128
7,6.6,25.0,165
8,6.64,25.0,166
9,8.96,25.0,224
10,10.24,25.0,256
11,12.0,25.0,300
12,15.36,25.0,384
13,17.44,25.0,436
14,20.48,25.0,512
15,25.6,25.0,640
16,30.72,25.0,768
17,32.0,25.0,800
18,35.84,25.0,896
19,36.08,25.0,902
20,40.96,25.0,1024
21,43.32,25.0,1083
22,46.08,25.0,1152
23,51.2,25.0,1280
24,54.64,25.0,1366
25,56.32,25.0,1408
26,57.2,25.0,1430
27,61.44,25.0,1536
28,63.56,25.0,1589
29,65.44,25.0,1636
30,66.56,25.0,1664
31,68.52,25.0,1713
32,70.56,25.0,1764
33,71.68,25.0,1792
34,74.36,25.0,1859
35,76.6,25.0,1914
36,76.8,25.0,1920
37,80.28,25.0,2007
38,81.92,25.0,2048
39,83.52,25.0,2088
40,86.72,25.0,2168
41,87.04,25.0,2176
42,90.52,25.0,2263
43,92.16,25.0,2304
44,92.92,25.0,2323
45,95.56,25.0,2389
46,97.28,25.0,2432
47,98.2,25.0,2455
48,101.6,25.0,2540
49,102.4,25.0,2560
50,104.48,25.0,2612
51,107.52,25.0,2688
52,107.64,25.0,2691
53,112.64,25.0,2816
54,115.24,25.0,2881
55,117.2,25.0,2930
56,117.76,25.0,2944
57,120.36,25.0,3009
58,122.88,25.0,3072
59,124.0,25.0,3100
60,126.28,25.0,3157
61,128.0,25.0,3200
62,128.32,25.0,3208
63,133.12,25.0,3328
64,136.64,25.0,3415
65,138.24,25.0,3456
66,141.68,25.0,3542
67,143.36,25.0,3584
68,144.56,25.0,3614
69,147.68,25.0,3692
70,148.48,25.0,3711
71,151.64,25.0,3790
72,153.6,25.0,3840
73,154.76,25.0,3869
74,157.2,25.0,3929
75,158.72,25.0,3968
76,160.64,25.0,4015
77,162.44,25.0,4061
78,163.84,25.0,4096
79,166.16,25.0,4154
80,168.96,25.0,4224
81,169.52,25.0,4238
82,172.08,25.0,4302
83,174.08,25.0,4352
84,175.32,25.0,4383
85,179.2,25.0,4480
86,180.64,25.0,4516
87,184.32,25.0,4608
88,189.44,25.0,4736
89,194.56,25.0,4864
90,194.88,25.0,4872
91,197.6,25.0,4940
92,199.68,25.0,4992
93,201.08,25.0,5027
94,202.72,25.0,5068
95,204.8,25.0,5120
96,206.64,25.0,5166
97,209.48,25.0,5237
98,209.92,25.0,5248
99,211.72,25.0,5293
100,214.6,25.0,5365
101,215.04,25.0,5376
102,217.64,25.0,5441
103,220.16,25.0,5504
104,221.44,25.0,5536
105,225.28,25.0,5632
106,230.0,25.0,5750
107,230.4,25.0,5760
108,235.52,25.0,5888
109,238.24,25.0,5956
110,240.64,25.0,6016
111,245.76,25.0,6144
112,249.04,25.0,6226
113,250.88,25.0,6272
114,251.04,25.0,6276
115,255.76,25.0,6394
116,256.0,25.0,6400
117,260.56,25.0,6514
118,261.12,25.0,6528
119,263.32,25.0,6583
120,265.96,25.0,6648
121,266.24,25.0,6656
122,267.8,25.0,6695
123,270.32,25.0,6758
124,271.36,25.0,6784
125,273.72,25.0,6843
126,276.48,25.0,6912
127,276.68,25.0,6917
128,281.6,25.0,7040
129,283.92,25.0,7098
130,286.72,25.0,7168
131,290.12,25.0,7253
132,291.84,25.0,7295
133,293.88,25.0,7347
134,296.84,25.0,7420
135,296.96,25.0,7423
136,301.72,25.0,7543
137,302.08,25.0,7552
138,307.2,25.0,7680
139,312.32,25.0,7808
140,316.76,25.0,7919
141,317.44,25.0,7936
142,322.56,25.0,8064
143,327.68,25.0,8192
